GEOID,White,Black,AIAN,Asian,NHPI,Hispanic
25025120400,5061,679,10,280,0,611
25025120500,1365,185,0,75,0,742
25025120600,1862,226,0,81,0,318
25025120700,1113,110,0,277,0,328
25025130101,4828,65,42,594,0,405
25025130200,3453,3,0,472,0,396
25025130300,3633,61,0,260,0,300
25025130402,3415,55,0,564,0,782
25025130404,1728,401,0,183,0,241
25025130406,1188,2382,0,223,0,1719
25025140102,1831,2037,0,543,0,860
25025140105,1059,1374,0,68,0,953
25025140106,611,1009,0,20,0,500
25025140107,815,1215,0,13,0,1158
25025140201,1072,852,0,58,0,432
25025140202,2046,1828,0,158,0,1721
25025140300,732,4144,0,6,0,2217
25025140400,912,4971,55,86,0,2230
25025160102,291,437,0,133,0,2763
25025160103,595,375,0,5,0,3493
25025160200,257,82,0,11,0,4082
25025160300,1457,85,0,36,0,546
25025160400,981,133,0,112,0,1884
25025160501,838,467,0,288,0,4136
25025160502,873,202,0,110,0,2859
25025160601,1246,475,0,69,0,2638
25025160602,1172,200,0,378,0,3236
25025170101,1831,11,7,236,0,1603
25025170102,2082,135,0,113,0,2320
25025170200,3146,483,0,82,0,1248
25025170301,3261,707,0,277,0,1507
25025170302,2200,500,0,359,0,655
25025170400,3073,289,0,276,0,1380
25025170502,2655,57,0,31,0,867
25025170503,951,0,0,50,0,342
25025170504,1464,36,0,160,0,1489
25025170601,2304,215,0,428,0,2862
25025170701,979,108,0,100,0,1052
25025170702,1438,56,155,65,0,5654
25025170800,3355,1,0,257,0,2183
25025180101,3064,322,23,186,0,1287
25025180200,2904,30,0,39,0,1516
25025180301,2902,23,0,64,0,38
25025180400,1425,81,0,0,0,293
25025180500,3113,133,0,33,0,586
25025980101,70,23,0,0,0,69
25025980300,145,25,0,0,0,63
25025980700,2,0,0,0,0,0
25025980900,44,0,0,0,0,0
25025981000,30,0,0,0,0,0
25025981100,32,11,0,0,0,33
25025981201,0,0,0,0,0,0
25025981202,46,5,0,11,0,15
25025981300,20,0,0,3,0,0
25025981501,0,0,0,0,0,0
25025981502,0,0,0,0,0,0
25025981600,0,0,0,0,0,0
25025981700,0,0,0,0,0,0
25025981800,11,0,0,10,0,0
25025981900,0,0,0,0,0,0
25025990101,0,0,0,0,0,0
