GEOID,White,Black,AIAN,Asian,NHPI,Hispanic
06037800205,2146,110,0,968,0,610
06037119900,250,67,0,507,0,3640
06037121222,466,174,0,125,0,4310
06037577602,2196,34,37,370,0,485
06037990300,0,0,0,0,0,0
06037301502,5890,33,0,386,0,713
06037531202,11,81,0,33,0,4368
06037620521,2387,56,0,883,0,1028
06037231800,24,216,0,0,0,5193
06037542200,20,1875,0,8,0,4901
06037600801,54,2346,0,42,0,202
06037920106,1076,117,0,159,0,2078
06037189802,1198,119,0,106,0,403
06037221401,339,1297,0,198,0,922
06037231210,130,1096,0,137,95,2552
06037461300,4301,126,21,190,0,912
06037576602,2275,701,2,228,1,1206
06037670407,1922,467,0,2385,0,667
06037131022,534,110,18,438,0,1693
06037541402,0,461,0,33,0,2724
06037222700,1501,272,26,1347,0,949
06037980021,1,0,0,11,0,4
06037213100,215,420,5,1611,0,501
06037218500,321,613,0,69,0,1493
06037920038,257,63,0,169,0,2448
06037119802,182,35,0,441,30,2394
06037980020,0,0,0,0,0,0
06037533501,15,0,0,0,0,2781
06037106642,2319,34,0,317,0,734
06037128910,2610,115,0,424,0,1111
06037293302,732,190,0,1309,0,2050
06037570902,1807,185,12,194,22,966
06037670417,1181,82,0,1084,0,100
06037212620,355,186,0,1862,0,1346
06037113426,669,28,0,472,0,1036
06037195901,1172,61,0,383,0,737
06037201700,731,334,18,831,0,3114
06037232401,196,835,0,53,29,2199
06037534203,83,20,0,23,5,3155
06037650702,2140,2,0,1277,10,723
06037670701,3003,10,0,1610,0,1491
06037294820,49,8,0,73,0,3145
06037134423,2257,0,0,613,0,513
06037209105,0,143,0,247,0,2715
06037550902,477,77,21,838,0,3924
06037104103,269,578,0,230,0,3023
06037119700,1006,0,0,1259,0,1935
06037500900,290,90,14,151,0,4711
06037910715,509,680,0,425,0,5262
06037480601,1400,214,0,1030,0,1212
06037530603,502,14,0,132,0,3770
06037670324,3896,56,0,1086,0,137
06037211320,195,114,7,707,0,1893
06037530700,131,0,0,17,0,1875
06037231500,119,1582,0,303,0,2825
06037433305,94,36,8,911,0,3440
06037462301,916,215,5,501,22,2050
06037535902,145,77,0,20,0,5429
06037574800,1999,161,0,228,0,567
06037603901,696,261,0,312,0,2496
06037121210,401,66,25,292,9,2246
06037910608,414,492,0,87,0,2950
06037113323,1094,112,0,732,0,1874
06037301300,1674,6,0,140,0,165
06037402903,81,139,0,685,0,2712
06037123204,570,59,0,170,0,2509
06037238320,77,937,0,0,50,2449
06037310705,1185,127,0,987,0,53
06037533002,5,36,0,0,0,2176
06037900102,276,14,4,0,0,339
06037535701,276,0,0,323,0,5121
06037555300,1041,286,6,487,0,2970
06037980030,0,0,0,0,0,0
06037620601,2618,98,0,1827,0,990
06037265301,3567,791,34,5255,23,2656
06037272202,1488,80,0,316,0,782
06037503104,94,0,0,204,0,2046
06037532304,481,173,0,8,0,3232
06037195720,647,73,0,375,0,544
06037267600,1020,0,0,711,13,592
06037400304,2441,238,0,1821,85,3231
06037553702,18,229,0,0,8,4312
06037183510,493,0,0,291,0,1577
06037275311,2214,165,0,1105,25,1080
06037551300,474,208,0,476,45,4308
06037291210,419,1312,12,825,0,2095
06037401101,1830,147,4,639,14,2854
06037408631,547,0,37,1949,0,2457
06037504200,536,249,0,1046,367,4858
06037550101,277,23,0,349,32,3277
06037651001,1859,115,0,1490,0,1354
06037141400,3218,88,0,332,0,1032
06037208903,126,216,0,136,0,3331
06037482522,194,105,36,1897,0,1893
06037570503,357,229,17,351,0,2624
06037900902,839,23,0,0,0,441
06037113324,645,284,0,337,0,1548
06037183702,669,45,5,418,0,1595
06037460800,1786,53,0,543,0,277
06037535605,66,0,0,0,0,4577
06037570001,1496,434,21,861,0,1701
06037132102,1599,168,0,821,0,2292
06037139301,2524,160,0,249,0,547
06037191000,1962,251,52,997,0,1513
06037701302,3421,66,82,601,0,230
06037107020,313,56,0,186,38,4296
06037555001,749,234,0,1725,0,2629
06037117408,190,230,0,169,0,1891
06037106403,324,187,0,60,67,3209
06037405500,603,69,38,1056,0,4328
06037192410,2302,215,0,913,0,461
06037208904,62,67,3,488,0,2930
06037262200,3243,235,0,543,0,306
06037602513,40,786,0,11,0,591
06037123103,1175,139,189,184,0,2081
06037404804,268,3,0,826,0,3126
06037405101,148,36,0,1669,37,3424
06037137504,1179,151,6,128,0,306
06037296902,1084,122,9,197,0,3142
06037601801,4,76,0,99,0,2838
06037980006,0,0,0,0,0,0
06037186404,562,7,0,191,0,1618
06037481500,165,31,31,3187,0,881
06037106406,1242,132,0,513,0,4405
06037480804,419,257,0,2018,0,1855
06037501804,206,104,17,60,0,1728
06037670405,1328,49,0,1116,0,84
06037920112,2198,114,0,406,115,966
06037106641,1352,50,0,397,0,166
06037123510,1800,79,0,568,0,2134
06037195600,884,57,0,366,0,1379
06037296500,517,151,0,6,29,2970
06037434003,67,17,0,367,0,3214
06037554515,422,329,0,2076,0,394
06037296600,761,418,0,270,65,3510
06037405203,278,15,0,640,0,2101
06037602404,352,1246,0,270,23,3930
06037407602,248,176,2,445,5,3087
06037211202,274,82,0,730,0,1111
06037530203,202,0,0,276,0,2307
06037542700,22,762,0,0,43,4878
06037141201,2070,374,0,342,0,837
06037115204,1403,645,0,506,0,1239
06037291220,175,334,0,703,0,1663
06037115202,1615,365,19,927,52,2651
06037531000,91,0,0,0,0,4518
06037104500,59,5,6,17,0,3444
06037192001,1400,133,38,168,0,321
06037228800,11,355,0,110,0,4899
06037603400,427,512,6,1029,20,1611
06037541606,0,473,0,0,0,2258
06037553602,126,926,0,128,0,3797
06037650501,1213,0,0,925,0,387
06037701701,1817,141,9,403,0,709
06037501600,2438,32,0,352,0,4186
06037910302,2657,262,91,308,0,2957
06037137104,1526,85,0,157,0,123
06037125403,1110,324,0,214,0,844
06037274100,2493,827,0,441,0,425
06037500700,110,71,0,168,0,6064
06037542106,15,279,0,41,0,1977
06037113322,2268,594,1,619,0,1207
06037115101,2848,40,0,774,0,953
06037209106,314,248,0,430,0,1054
06037408504,643,14,0,1850,0,2866
06037540700,34,980,12,56,0,1968
06037267403,2179,218,0,416,0,578
06037128801,2177,288,25,443,0,650
06037127604,957,286,0,202,0,1597
06037300200,2595,97,10,1586,0,867
06037433402,74,26,11,1235,0,3222
06037910804,1772,0,0,79,0,1084
06037650300,1776,286,9,3054,34,2181
06037191620,521,23,0,690,0,1535
06037401802,1653,258,0,364,4,914
06037481603,215,19,9,2610,0,727
06037571400,1392,307,0,934,9,1900
06037651201,1790,28,7,1729,0,715
06037901003,548,1270,24,22,4,1380
06037189502,1078,100,0,116,12,413
06037408503,1054,85,9,2923,0,2554
06037552200,253,470,0,538,38,4752
06037573101,412,747,20,589,0,2373
06037113303,1088,164,0,831,0,1438
06037190702,673,99,0,187,0,385
06037209103,46,258,0,93,0,2818
06037543703,370,259,0,981,62,2403
06037650901,1395,216,0,1882,0,1253
06037209104,155,156,0,217,0,2021
06037461502,1074,1223,5,316,0,3230
06037199002,556,10,0,707,0,1577
06037572201,1217,864,0,1072,47,2072
06037980014,4,36,0,0,0,0
06037208802,220,243,0,674,0,1563
06037104824,10,0,20,0,17,2535
06037127300,903,302,0,450,0,2443
06037670604,3046,0,0,1135,0,390
06037104401,88,29,0,0,0,2966
06037300800,4225,60,0,776,0,1186
06037620201,1226,13,11,88,0,81
06037101110,2201,82,4,292,5,1427
06037197200,334,48,4,1787,22,1248
06037237800,89,1673,0,6,14,2353
06037294830,183,143,46,22,0,3474
06037300301,3785,57,0,1383,0,336
06037602302,2542,17,0,1003,29,814
06037115103,930,245,0,591,0,739
06037119310,887,151,8,574,0,2115
06037139402,2051,50,0,173,0,223
06037480201,938,34,12,1521,16,1116
06037542501,0,1438,0,13,0,2233
06037120300,1242,255,0,1359,0,2475
06037275604,5912,581,0,1746,0,1240
06037533001,0,192,0,0,0,4176
06037900705,1696,538,0,180,20,1325
06037480602,2077,195,28,793,0,639
06037275312,1579,21,0,175,0,102
06037183402,880,23,4,617,0,1370
06037206050,138,18,32,151,0,1932
06037231301,59,222,0,0,0,1936
06037121900,563,25,0,79,0,2662
06037137103,3309,137,0,517,0,697
06037139302,1531,322,0,926,0,1795
06037134905,2550,1397,0,1017,46,791
06037188100,1596,92,0,451,0,1442
06037543000,31,1587,0,295,0,2291
06037212900,414,381,0,919,0,1932
06037265521,831,0,0,535,0,101
06037600202,197,2012,0,0,295,4339
06037650200,2087,223,0,1594,0,1731
06037650802,677,76,0,2488,0,260
06037204110,54,33,2,38,0,2699
06037535607,30,32,0,44,0,4496
06037575101,484,679,0,929,0,2102
06037115301,1703,102,0,1248,0,1094
06037213202,114,182,0,1219,0,2044
06037481403,188,2,0,2287,57,504
06037552800,435,322,0,494,31,4903
06037134521,40,38,3,74,0,2534
06037234200,148,1470,0,307,0,586
06037294520,100,45,9,38,0,3369
06037214600,1585,194,0,128,0,188
06037403319,578,52,0,2072,20,808
06037603004,131,443,0,488,0,722
06037670101,1142,184,0,346,0,1342
06037109100,935,102,0,525,0,1293
06037296210,267,167,8,59,0,2707
06037101400,2197,58,0,314,0,740
06037464200,959,0,0,4086,0,431
06037601301,336,729,0,61,0,648
06037241120,84,585,0,96,0,3302
06037262302,2450,16,0,98,0,120
06037294200,249,6,0,90,13,3928
06037127712,866,309,0,257,0,2509
06037503401,2074,36,0,352,0,4482
06037241110,29,630,0,15,0,2858
06037123303,1062,68,0,106,13,1529
06037271902,2048,235,51,316,0,1073
06037273300,1808,444,0,88,0,443
06037262802,3011,0,0,248,0,113
06037432902,150,28,31,1724,22,921
06037530202,158,0,0,142,0,3833
06037183221,797,71,0,353,0,1917
06037220000,491,1806,16,159,0,1790
06037405400,457,159,0,616,12,3665
06037191610,740,261,0,586,0,1984
06037218220,636,1064,0,394,0,1765
06037503602,1221,2,0,968,0,1528
06037920044,1095,131,0,237,8,1037
06037214903,1175,64,0,161,0,75
06037551801,248,47,17,292,23,2553
06037621301,4022,171,0,1419,11,900
06037131023,590,117,0,253,0,1611
06037462800,1088,155,0,440,0,1006
06037540300,34,36,0,0,0,4359
06037194101,2112,161,0,338,39,481
06037576903,736,768,0,323,0,2124
06037294301,161,3,0,165,0,2453
06037408401,360,2,8,1043,99,2771
06037531503,68,0,10,0,0,2367
06037214904,1211,66,0,73,0,81
06037219020,387,849,0,70,0,2873
06037533108,38,10,50,40,26,4594
06037540800,86,2530,0,100,22,2519
06037602512,107,93,147,421,114,949
06037120103,86,52,0,52,0,2689
06037297002,1932,64,59,325,0,1669
06037408722,396,2,7,2585,0,1161
06037602504,201,1253,0,388,0,2802
06037208002,374,0,0,218,0,3417
06037301801,3571,17,0,1030,72,676
06037576802,1937,461,0,268,16,1609
06037216402,1792,22,29,135,0,446
06037228900,4,131,0,0,0,2984
06037980004,0,0,0,0,0,0
06037535300,43,156,0,7,0,5612
06037261103,1369,50,0,122,0,75
06037201110,323,47,0,187,0,1710
06037408703,483,57,7,4022,9,844
